label,review
0,卷还不错，但粥就太一般了，皮蛋粥感觉就是早就煮好的稀粥里临时加了几块皮蛋。
0,50分钟才送到…粥洒了一半连句抱歉都没有，还推说因为不好找…不好找不会打电话问吗？订半亩园不是第一次了，以前的送餐骑士都很好，这次真心呵呵。
0,越来越难吃，竟然有一大块盐在饭盒里，豆腐脑缺没放盐
0,一般般，速度太慢，太辣
0,饭非常好，物美价廉，包装很精致！送饭的师傅把饭放在垃圾桶上用来吐痰和弹烟灰的沙子里，让人怎么吃？！送餐慢可以理解，毕竟定的晚，而且师傅要送很多家，但是明知道是垃圾桶，而且还是人们吐痰和弹烟灰的地方，还把饭放到里面，你这个送饭的师傅是不是太招人恨了？！
0,才不好吃，居然等了4个小时。无语，还能说啥呢，饿的没力气了，在饿了么上重新定的都到了。
0,打死卖糖的了。写了备注，有用吗？
0,我该怎么评价？？诺大的盒子……只装了半盒……3块钱一份的鹌鹑蛋只有2颗……我忍了……好歹你给我放了！！！问题是我要的豆皮呢？？？我要的苦菊呢？？？里面绿色的菜叶我用一根筷子就能挑起来……3块钱一份的宽粉……只有中指那么长？？太垃圾！！！谁点你们家外卖谁死全家的！！百度优惠完还30块钱呢，这么大的盒子只有半盒不说……去了汤还剩什么？？垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾……一条宽粉，两颗鹌鹑蛋……黑白各一块百叶……还有一支筷子就能挑起来的菜叶组成了半盒麻辣烫！
0,"来这里吃过多次,这次接电话的服务员态度特别差,中午1点多下的单,订4点的外卖,打电话过去,服务员告诉我在那里吃过了,还一副都是我的错的样子,那态度都让人无语了！"
0,从下单到收到餐，142分钟，送到的粥洒了。。
0,点的果仁菠菜，送过来是木耳，你没有可以提前沟通，说也不说直接扔过来是神么意思？根本就不是正宗山西刀削面，卤蛋、豆腐一点味道没有，炒鸡蛋面就不说了，黏的一塌糊涂。
0,就那么回事吧，两个菜都油乎乎的。每点一个菜还要收餐盒费
0,京酱肉丝咸的不能再咸
0,还可以不用优惠卷太贵了
0,慢的已经无法忍受！菜量也少得可怜！凉面也没有！再也不买了l
0,真心没什么优点可说的。
0,比卷饼差多了
0,特别差，这哪是拌饭，不要买了
0,基本上还好吧
0,点的鱼香肉丝饭和秘制凉皮，根本就不是鱼香肉丝好吗？是萝卜条肉丝，凉皮味道也不好，量还少，总之很不满意，30块钱不值，配送小哥速度很快
0,本来满怀期待的等到1点多，结果不送上来，1点多应该过高峰了啊？下去拿餐，发现只有我的那份，我就呵呵了
0,"大酱汤和辣白菜五花肉饭蒜味真的太重了,吃着快吐了,少放点吧！桔梗特难吃。。"
0,"20套餐,盐酥鸡,变成淀粉炸,蟹段,，没什么提前说一声,没吃饱"
0,差评，差评，没吃过这么恶心的冷面，一口就吃吐了
0,说了半天不要辣，还是放辣椒了
0,主题太硬了吧？腐竹还凑合
0,怎么还没到
0,送餐非常慢，东西又难吃，没有酱
0,量挺多的，味道很不怎么样！
0,量少啦点，
0,太咸了，粥太贵了！
0,外卖的菜品质量实在无法接受
0,差评，退款太慢！我说的是百度！
0,以前很快，不知道这次怎么了，好慢。而且里面没有奥尔良，不知道是没有还是忘记加了，不是很满意。
0,不大好吃……
0,送餐太慢太慢
0,点个套餐给2个可乐，我的豆腐脑呢是在逗我吗
0,送餐速度特别慢，其他的都还不错
0,特别不好吃，而且不新鲜，扔了
0,卷饼味道真的很一般
0,点了一份蒜，没给，口味一般吧
0,真心也忒慢了，其他都还成
0,不好喝，超级不好喝
0,菜很难吃，还很贵。农家小炒肉弄成了芹菜炒肉，菜太难吃了。
0,没有收到餐。。
0,"这个单子,我没拿到餐，钱也扣了，你说怎么办吧。"
0,送的很慢送来的时候凉了
0,他家的事物真的很一般只是方便而已
0,送餐太慢了，致电餐厅，说做完很久没来取，菜品味道一般，量挺大的
0,排骨只有三块！两道菜都好苦！
0,送外卖的人真的太太太慢了，饭店都做好半个小时了，才去取餐，送到后，饺子都已经凉了，而且都粘住了根本没法吃啊！
0,太腻了，里面好多肥肉，吃完都犯恶心。。。
0,送的有点儿慢，不过还是挺好吃的。
0,担担面外卖过来就是一坨
0,田园养生蔬有点不太好吃.
0,"茄子居然没有放盐,我几乎都没吃,做的做来越差,我打开包装茄子到处都是,都从盒子里出来了,怎么吃再加上没有盐"
0,"为什么不给餐具？,洒的到处汤汤水水的"
0,木有给发票；味道一般。
0,才发现立减6元没减到，难道人家送餐人员忘了？
0,"牛肉粥肉有点少,而且盒子到的时候都压扁l"
0,"根本没送来,我很佩服"
0,一品豆腐光给豆腐不给蘸酱，没有筷子！
0,"太难吃,说是20元的,赶不上10元的盒饭好吃,百度给我们出的钱让他赚去了,绝对不会吃第二次的,差评！"
0,"几颗咸菜,呵呵了。"
0,送餐已超过预期送餐时间30分钟，送餐员还提前完成订单，到了还打感情牌，太差劲！汉堡一般。
0,5块钱藕片4片老板说分薄后来决定的，第一次听过
0,菜品没问题的。也很划算。好像少给了一个豆浆。不过算了。送餐太慢。希望以后加快点。
0,送餐很快，只是味道太一般！
0,"肉夹馍是脆皮的,味道还可以,凉皮子一般,油条不错"
0,差评，接单两个多小时没有送餐，打电话也没人接听，更无法取消订单，至今没有给予回复，这是订宵夜的节奏，送来带着锡纸都凉透了，你们都是只上夜班的吗？骗子！！！
0,菜都撒了，米都让菜汤泡了，比预计晚了20分钟，这次特别不满意
0,每次送餐都要等一个小时…而且感觉店商根本不看备注
0,肉夾馍不错，其它一般。
0,"扬州炒饭没第一次点的好吃,好像没放盐,小馒头很干也没给奶油"
0,外卖也太差了吧，这是剩饭吧？去你们实体店里，你们要是给我上这种米饭我直接能不吃了！好歹也是连锁店，就差那么一点钱是吗？就省这么点米，你还能发财！！！搞得我胃口全无！！！超级难吃！！！建议大家不要买他们家，剩米饭，我也是醉了！
0,配送速度有点慢
0,只有肉菜没放酱料，太干。
0,辛苦送餐小哥了！菜量太小了~100多块钱都没有吃饱，鸭血小的都找不到，总之不值~
0,送餐太慢，定的12点15，结果12点40才送到。
0,送货员送错了一份餐，也没有给发票
0,我备注了不要放肉沫，，那肉沫还是放了，放了那么多，
0,烤肠忘给了
0,配送员态度太差，送得慢，按正常速度下楼取还一直催，呵呵了？
0,饭菜送来时还是热的
0,做的太一般
0,我备注要的番茄酱呢！！！！！！！！！
0,快递很赞，食品质量一般
0,挺好的，总吃
0,没有比这再咸了。这饭馆打死卖盐的了？
0,等了一个小时，也不好吃。
0,一杯送来都漏了
0,……不想多说，你懂的
0,毛血旺里火腿差，肥肠颜色偏重，毛肚牙碜，料还是很足的，味道还可以，其他都不错，米饭给的特多，好
